,link,category,name,img_url,brand,short_desc,priority_price,priority_store,num_of_product,num_of_store,lowest_price,highest_price
1422,https://www.sosanhgia.com/p130845-nhat-ky-quan-sat-poyo-poyo-tap-1-5.html,"['Sách', 'Sách thiếu nhi', 'Truyện tranh thiếu nhi', 'Truyện tranh thiếu nhi  - Ru Tatuki']",Nhật ký quan sát poyo poyo (Tập 1-5),https://img.sosanhgia.com/images/500x0/d2dc1716e81d478e86f71aaaa50cc486/nhat-ky-quan-sat-poyo-poyo-(tap-1-3).jpeg,Ru Tatuki,"Một cái gối?! Không, là chú mèo đấy.
Poyopoyo xoay quanh một con mèo màu cam có hình cầu mang tên Poyo, và nhận nuôi. Lúc đầu, em trai Hide rất ghét Poyo, nhưng qua từng ngày...",17.500,Shopee,20.0,6.0,17.500,35.000
1423,https://www.sosanhgia.com/p184127-hoc-toan-qua-truyen-ngu-ngon-nai-con-va-cao-gia.html,"['Sách', 'Sách thiếu nhi', 'Truyện tranh thiếu nhi', 'Truyện tranh thiếu nhi  - Nguyễn Văn Tùng']",Học Toán Qua Truyện Ngụ Ngôn - Nai Con Và Cáo Già,https://img.sosanhgia.com/images/500x0/921b1c1fec7a4e86bcac42ae62fb1a82/hoc-toan-qua-truyen-ngu-ngonnai-con-va-cao-gia.jpeg,Nguyễn Văn Tùng,"Với bộ sách xinh xắn này, em sẽ được làm tính, học đếm, chơi những trò chơi toán học qua các câu chuyện ngụ ngôn thú vị. Những câu chuyện vốn quen thuộc bỗng trở nên mới mẻ nhờ nét minh họa hài hòa...",12.000,Shopee,5.0,4.0,12.000,17.000
1424,https://www.sosanhgia.com/p117523-cham-lai-de-to-tuong.html,"['Sách', 'Sách Kỹ Năng - Sống Đẹp', 'Sách Kỹ Năng - Sống Đẹp  - V. Vajiramedhi']",Chậm Lại Để Tỏ Tường,https://img.sosanhgia.com/images/500x0/a3309f725ed546968652783b8f6cd9d8/cham-lai-de-to-tuong.jpeg,V. Vajiramedhi,"Niềm vui và hạnh phúc nằm trong tâm trí của mỗi người, nhưng chúng ta lại vu vơ tìm kiếm ở những nơi khác, những nơi thật sai lầm.
Có người dành cả đời góp nhặt những hòn sỏi, sau đó cố ép mật ngọt từ những hòn sỏi đó. Để rồi họ nhận ra, những nỗ lực ấy thật uổng phí...",59.000,Tiki,4.0,4.0,52.000,65.000
1425,https://www.sosanhgia.com/p117594-gian-de-thuong.html,"['Sách', 'Sách Kỹ Năng - Sống Đẹp', 'Sách Kỹ Năng - Sống Đẹp  - V. Vajiramedhi']",Giận Để Thương,https://img.sosanhgia.com/images/500x0/43a1886652ef4ce3b753af0caf279b96/gian-de-thuong.jpeg,V. Vajiramedhi,": Ai cũng giận nhưng chẳng mấy ai nhìn thấu được cơn giận của mình. Cũng chính vì vậy mà ngàn đời nay con người vẫn “bền bỉ ghét nhau, triền miên trong đấu tranh, xung đột”:
Tất cả những dạng bạo lực và xung đột trên thế giới
Đều có nguồn gốc từ một thứ của con người...",38.350,Tiki,7.0,6.0,38.350,59.000
1426,https://www.sosanhgia.com/p118071-yeu-de-hieu.html,"['Sách', 'Sách Kỹ Năng - Sống Đẹp', 'Sách Kỹ Năng - Sống Đẹp  - V. Vajiramedhi']",Yêu Để Hiểu,https://img.sosanhgia.com/images/500x0/be5ef3434194479c889820933d1f279d/yeu-de-hieu.jpeg,V. Vajiramedhi,"Tình yêu là câu chuyện, là ước muốn, là thứ mà ngàn đời nay con người ta lao đi tìm, hiểu, cố gắng đạt được thế mà “Ai cũng cần tình yêu nhưng chẳng mấy ai chịu học yêu đúng cách”...",42.250,Tiki,6.0,3.0,42.250,52.000
1427,https://www.sosanhgia.com/p172698-co-tich-muon-mau-banh-chung-banh-giay.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Cổ Tích Muôn Màu - Bánh Chưng Bánh Giầy,https://img.sosanhgia.com/images/500x0/9bc3b5cc6007423faf8fbb1f876cfbc4/c-tch-mun-mu-bnh-chng-bnh-giy.jpeg,Nhiều Tác Giả,"Việt Nam có một kho tàng truyện cổ tích vô cùng đa dạng và phong phú. Mỗi truyện cổ tích không đơn thuần mang giá trị giải trí mà ẩn chứa trong đó là những bài học bổ ích mang tính giáo dục cao. Do đó, hầu hết các bé thiếu nhi đều được...",10.500,Shopee,4.0,3.0,10.500,13.500
1428,https://www.sosanhgia.com/p78943-truyen-co-tich-hoang-tu-va-cong-chua-cong-chua-tu-trai-cam.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Hoa Mai']",Truyện Cổ Tích Hoàng Tử Và Công Chúa - Công Chúa Từ Trái Cam,https://img.sosanhgia.com/images/500x0/cab17ffdbad74205b782ddefe0c95315/truyen-co-tich-hoang-tu-va-cong-chua-cong-chua-tu-trai-cam.jpeg,Hoa Mai,"Truyện cổ tích sẽ đưa trẻ em vào thế giới huyền ảo, bay bổng,
trong lành và đẹp đẽ. Đó là chất xúc tác kích thích trí tưởng
tượng, nuôi dưỡng cảm xúc, thẩm mỹ, hướng các em vươn tới những ước
mơ, những khát vọng tươi sáng, lành mạnh.. Bộ sách Truyện Cổ Tích
Hoàng Tử Và Công Chúa với nhiều hình ảnh đẹp và sinh động nhằm giúp
trẻ thêm yêu thích những câu chuyện cổ tích đầy huyền ảo ...",15.600,Shopee,,,,
1429,https://www.sosanhgia.com/p170842-truyen-co-tich-ve-nhung-nang-cong-chua-cong-chua-vui-ve.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Truyện Cổ Tích Về Những Nàng Công Chúa - Công Chúa Vui Vẻ,https://img.sosanhgia.com/images/500x0/fe08b62258ee4381b73e04aba12d1e4d/truyn-c-tch-v-nhng-nng-cng-cha-cng-cha-vui-v.jpeg,Nhiều Tác Giả,"Với tuyến nhân vật đa dạng, hệ thống cốt truyện đặc sắc, truyện cổ tích được yêu thích từ thế hệ này sang thế hệ khác, truyền tải nhiều thông điệp ý nghĩa khác nhau mà bạn đọc, dù ở lứa tuổi nào hay thuộc giới tính nào cũng có thể tìm ở đó rất nhiều bài học. Các bài học đó giúp...",29.760,Shopee,4.0,3.0,29.760,38.400
1430,https://www.sosanhgia.com/p172693-co-tich-trang-non-ga-trong-kieu-cang.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Cổ Tích Trăng Non - Gà Trống Kiêu Căng,https://img.sosanhgia.com/images/500x0/8e7f9b4b6d7a4a9a9c22f49934b5c11b/c-tch-trng-non-g-trng-kiu-cng.jpeg,Nhiều Tác Giả,"Từ thở ấu thơ, các em nhỏ đã được biết đến những câu chuyện cổ tích qua lời kể của bà. của mẹ. Đó là một thế giới vô cùng hấp dẫn, lôi cuốn với biết bao tình tiết li kỳ, những bài học giáo dục nhẹ nhàng nhưng tác động mạnh mẽ trong việc bồi dưỡng...",16.000,Tiki,4.0,3.0,10.720,13.500
1431,https://www.sosanhgia.com/p172690-co-tich-trang-non-vi-sao-ga-trong-gay.html,"['Sách', 'Sách thiếu nhi', 'Truyện cổ tích', 'Truyện cổ tích  - Nhiều Tác Giả']",Cổ Tích Trăng Non - Vì Sao Gà Trống Gáy,https://img.sosanhgia.com/images/500x0/846985715d3143f98c7b3cf13da20929/c-tch-trng-non-v-sao-g-trng-gy.jpeg,Nhiều Tác Giả,"Từ thở ấu thơ, các em nhỏ đã được biết đến những câu chuyện cổ tích qua lời kể của bà. của mẹ. Đó là một thế giới vô cùng hấp dẫn, lôi cuốn với biết bao tình tiết li kỳ, những bài học giáo dục nhẹ nhàng nhưng tác động mạnh mẽ trong việc bồi dưỡng tâm hồn trẻ thơ...",16.000,Tiki,4.0,3.0,10.720,13.500
